==== 下列 (i, j) 中, 'ours' 的平均Dice为最高 ====
(i=172, j=2), ours dice=0.0842
(i=173, j=0), ours dice=0.0680
(i=173, j=3), ours dice=0.0171
(i=173, j=4), ours dice=0.0946
(i=174, j=0), ours dice=0.0812
(i=174, j=1), ours dice=0.0453
(i=175, j=3), ours dice=0.0738
(i=176, j=0), ours dice=0.1002
(i=176, j=1), ours dice=0.0792
(i=176, j=3), ours dice=0.0908
(i=177, j=3), ours dice=0.0971
(i=177, j=4), ours dice=0.0785
(i=179, j=0), ours dice=0.0852
(i=180, j=0), ours dice=0.0955
(i=180, j=3), ours dice=0.0847
(i=181, j=2), ours dice=0.0812
(i=182, j=2), ours dice=0.0307
(i=182, j=3), ours dice=0.0399
(i=182, j=4), ours dice=0.0626
(i=183, j=5), ours dice=0.0510
(i=184, j=0), ours dice=0.0835
(i=184, j=2), ours dice=0.0734
(i=184, j=3), ours dice=0.0629
(i=185, j=0), ours dice=0.0547
(i=185, j=1), ours dice=0.0354
(i=186, j=4), ours dice=0.0585
(i=187, j=0), ours dice=0.0407
(i=188, j=0), ours dice=0.0812
(i=188, j=2), ours dice=0.0656
(i=188, j=3), ours dice=0.0977
(i=189, j=3), ours dice=0.0900
(i=189, j=4), ours dice=0.0754
(i=190, j=3), ours dice=0.1141
(i=190, j=4), ours dice=0.0742
(i=190, j=5), ours dice=0.0881
(i=191, j=4), ours dice=0.0600
(i=191, j=5), ours dice=0.0620
(i=192, j=1), ours dice=0.0623
(i=192, j=3), ours dice=0.0487
(i=194, j=4), ours dice=0.0713
(i=195, j=0), ours dice=0.0673
(i=195, j=5), ours dice=0.0641
(i=196, j=2), ours dice=0.0363
(i=198, j=0), ours dice=0.0589
(i=198, j=4), ours dice=0.0683
(i=200, j=0), ours dice=0.0535
(i=200, j=2), ours dice=0.0764
(i=200, j=3), ours dice=0.0555
(i=200, j=4), ours dice=0.0582
(i=200, j=5), ours dice=0.0509
(i=201, j=0), ours dice=0.0592
(i=203, j=4), ours dice=0.0325
(i=204, j=2), ours dice=0.0801
(i=204, j=4), ours dice=0.0949
(i=205, j=1), ours dice=0.0611
(i=205, j=5), ours dice=0.0000
(i=206, j=4), ours dice=0.1267
(i=206, j=5), ours dice=0.0000
(i=207, j=0), ours dice=0.0715
(i=207, j=1), ours dice=0.0571
(i=207, j=2), ours dice=0.0517
(i=207, j=4), ours dice=0.0800
(i=208, j=0), ours dice=0.0509
(i=208, j=2), ours dice=0.0890
(i=208, j=5), ours dice=0.1148
(i=209, j=1), ours dice=0.0479
(i=209, j=4), ours dice=0.1183
(i=209, j=5), ours dice=0.0596
(i=210, j=0), ours dice=0.0815
(i=210, j=2), ours dice=0.0839
(i=211, j=2), ours dice=0.0935
(i=213, j=0), ours dice=0.0556
(i=213, j=1), ours dice=0.0588
(i=213, j=3), ours dice=0.0976
(i=213, j=5), ours dice=0.0101
(i=214, j=3), ours dice=0.0488
(i=214, j=5), ours dice=0.0537
(i=215, j=1), ours dice=0.0947
(i=216, j=0), ours dice=0.0802
(i=216, j=2), ours dice=0.0517
(i=216, j=5), ours dice=0.0333
(i=217, j=2), ours dice=0.0614
(i=219, j=3), ours dice=0.0746
(i=220, j=5), ours dice=0.0362
(i=221, j=0), ours dice=0.0746
(i=221, j=4), ours dice=0.0332
(i=222, j=1), ours dice=0.0542
(i=222, j=2), ours dice=0.0754
(i=222, j=3), ours dice=0.0716
(i=222, j=4), ours dice=0.0819
(i=224, j=0), ours dice=1.0000
(i=224, j=1), ours dice=0.0064
(i=224, j=3), ours dice=0.1183
(i=224, j=5), ours dice=0.0533
(i=225, j=1), ours dice=0.0555
(i=226, j=2), ours dice=0.0548
(i=226, j=3), ours dice=0.0918
(i=227, j=0), ours dice=0.0796
(i=228, j=0), ours dice=0.0581
(i=228, j=2), ours dice=0.0775
(i=229, j=2), ours dice=0.0730
(i=229, j=5), ours dice=0.0758
(i=230, j=1), ours dice=0.0704
(i=230, j=3), ours dice=0.0540
(i=230, j=4), ours dice=0.0510
(i=231, j=0), ours dice=0.1661
(i=231, j=1), ours dice=0.1303
(i=231, j=3), ours dice=0.1527
(i=231, j=5), ours dice=0.0063
(i=233, j=2), ours dice=0.0989
